"","biasModel","feat","z","coef_lm","coef_rlm"
"72","N","sigma_yy","I(y^3)",-7.70148216561598e-18,-1.95022535501913e-06
"73","N","sigma_yy","I(y^4)",-0.156045156889379,-0.166805670826323
"74","N","sigma_yy","y:x",-3.37652795405621e-17,-1.84957206233193e-06
"75","N","sigma_yy","y:I(x^2)",5.16213995451393e-17,2.07254339870754e-06
"76","N","sigma_yy","y:I(x^3)",7.78355613752524e-17,3.22477567708551e-06
"77","N","sigma_yy","y:I(x^4)",-1.24834174466263e-16,-4.97661688772324e-06
"78","N","sigma_yy","x:I(y^2)",3.50511120750791e-05,-0.000260813477523048
"79","N","sigma_yy","x:I(y^3)",5.74726575816122e-17,5.92813414426509e-06
"80","N","sigma_yy","x:I(y^4)",-0.000534284627241404,0.000586182246668556
"81","tN","mu_x","(Intercept)",0.110302041715705,0.000131255148611559
"82","tN","mu_x","y",0.327732607083822,-8.19207455854168e-06
"83","tN","mu_x","x",-1.84126503575421,0.593108426443016
"84","tN","mu_x","I(x^2)",-0.974343807460246,-0.00161459141008319
"85","tN","mu_x","I(x^3)",12.5631486913345,0.748985580074084
"86","tN","mu_x","I(x^4)",1.24470540084139,0.00600100673086191
"87","tN","mu_x","I(y^2)",1.83799955379985,-0.000915641641058632
"88","tN","mu_x","I(y^3)",0.0292495045301104,-0.000163088021287718
"89","tN","mu_x","I(y^4)",-6.39706169573709,0.00200040001075642
"90","tN","mu_x","y:x",2.4817276622173,-0.000234982389738586
"91","tN","mu_x","y:I(x^2)",-0.546554857525863,-0.000669353894412029
"92","tN","mu_x","y:I(x^3)",-3.92518310406859,0.000527166150772131
"93","tN","mu_x","y:I(x^4)",0.752759075623225,-0.000278835355242574
"94","tN","mu_x","x:I(y^2)",-29.5389383016222,-0.152282287774022
"95","tN","mu_x","x:I(y^3)",-4.08641901925455,-0.00144951887079752
"96","tN","mu_x","x:I(y^4)",117.403964466226,2.04383995094599
"97","tN","mu_y","(Intercept)",-0.0933225095390221,0.00266174579637454
"98","tN","mu_y","y",-0.528818262575829,0.670348542224383
"99","tN","mu_y","x",0.90268456339589,0.000797828865138131
"100","tN","mu_y","I(x^2)",-0.40802288043668,-0.0127384042547947
"101","tN","mu_y","I(x^3)",-2.72022286514134,-0.00797256796694487
"102","tN","mu_y","I(x^4)",-0.0276498744599924,0.0273764006243322
"103","tN","mu_y","I(y^2)",7.15635299866548,-0.130336254759982
"104","tN","mu_y","I(y^3)",10.9863918011745,0.900064968283973
"105","tN","mu_y","I(y^4)",-18.3374565945653,0.870992970381851
"106","tN","mu_y","y:x",3.94226677577255,-0.0342261807981822
"107","tN","mu_y","y:I(x^2)",-1.6643042325665,-0.329308496190268
"108","tN","mu_y","y:I(x^3)",-7.72399440564803,0.0361126037474424
"109","tN","mu_y","y:I(x^4)",11.5299883338277,1.08987368966825
"110","tN","mu_y","x:I(y^2)",14.5172610521003,0.140287971656347
"111","tN","mu_y","x:I(y^3)",2.94545087839518,0.275536319082214
"112","tN","mu_y","x:I(y^4)",-56.1806922623815,-1.08819535763317
"113","tN","sigma_xx","(Intercept)",0.31140047673737,0.0956915962241237
"114","tN","sigma_xx","y",1.25649841792097,-0.000117083107008613
"115","tN","sigma_xx","x",0.471957029827358,2.30588281485078e-05
"116","tN","sigma_xx","I(x^2)",-6.72014641394631,0.239686278094515
"117","tN","sigma_xx","I(x^3)",-1.1973225810628,0.000922164042136501
"118","tN","sigma_xx","I(x^4)",16.8975602055836,0.642354460257854
"119","tN","sigma_xx","I(y^2)",2.4071963441686,0.0873490657679626
"120","tN","sigma_xx","I(y^3)",-1.50848391484403,0.000329649359116927
"121","tN","sigma_xx","I(y^4)",2.52375655330398,0.406987225226179
"122","tN","sigma_xx","y:x",7.90617431407639,-0.000220291541796531
"123","tN","sigma_xx","y:I(x^2)",0.189718716397816,-0.00226246492426557
"124","tN","sigma_xx","y:I(x^3)",-12.6875777413463,0.000207342416313345
"125","tN","sigma_xx","y:I(x^4)",-3.94491604688194,0.00863201141474689
"126","tN","sigma_xx","x:I(y^2)",4.50899064609429,-0.00491028953709763
"127","tN","sigma_xx","x:I(y^3)",-12.7198902873592,-0.00207569415990456
"128","tN","sigma_xx","x:I(y^4)",-4.96047996954776,0.0139451542237599
"129","tN","sigma_xy","(Intercept)",-0.0496448083252932,-6.91251936774531e-05
"130","tN","sigma_xy","y",0.427534697901461,0.000156111146981988
"131","tN","sigma_xy","x",0.0626291568158122,-7.98009950673538e-05
