"","biasModel","feat","z","coef_lm","coef_rlm"
"72","N","sigma_yy","I(y^3)",-3.15930323166309e-17,-1.70266895614173e-09
"73","N","sigma_yy","I(y^4)",-0.0841111155359578,-0.0858103250769863
"74","N","sigma_yy","y:x",-5.67441379683675e-19,-3.94124847896522e-12
"75","N","sigma_yy","y:I(x^2)",-1.49072204067549e-16,3.99179618059871e-09
"76","N","sigma_yy","y:I(x^3)",-5.64057938133881e-17,4.76273513013981e-11
"77","N","sigma_yy","y:I(x^4)",2.9860666708998e-16,-6.14845868740019e-09
"78","N","sigma_yy","x:I(y^2)",-0.000125492289609924,-0.00155681147370137
"79","N","sigma_yy","x:I(y^3)",8.60822003152587e-17,-7.61106912587381e-11
"80","N","sigma_yy","x:I(y^4)",-4.78154030147845e-05,0.00708659694539126
"81","tN","mu_x","(Intercept)",-0.247658442471219,0.000206801291548356
"82","tN","mu_x","y",0.0490350172078876,-8.99501067626345e-05
"83","tN","mu_x","x",-1.38632308279771,0.654108190066029
"84","tN","mu_x","I(x^2)",3.05449634854122,-0.00307123422838995
"85","tN","mu_x","I(x^3)",15.6595180645865,0.812219227651214
"86","tN","mu_x","I(x^4)",-6.54847302875834,0.0107578702435914
"87","tN","mu_x","I(y^2)",2.3490373450624,-0.000519258671138077
"88","tN","mu_x","I(y^3)",-0.11014530734883,-0.000923112292149633
"89","tN","mu_x","I(y^4)",-7.52650061771908,0.000432694628255883
"90","tN","mu_x","y:x",0.0283103150373046,0.000256088109707498
"91","tN","mu_x","y:I(x^2)",-0.567096856474709,0.010658727600553
"92","tN","mu_x","y:I(x^3)",0.318426200210046,-0.0012194309422857
"93","tN","mu_x","y:I(x^4)",1.25038743778331,-0.0461550342668445
"94","tN","mu_x","x:I(y^2)",-53.2075214859656,-0.308485203079895
"95","tN","mu_x","x:I(y^3)",-0.640991834392492,-0.000483769475925028
"96","tN","mu_x","x:I(y^4)",167.777453616842,2.13073853891788
"97","tN","mu_y","(Intercept)",0.000463442836457577,-0.00300416188641271
"98","tN","mu_y","y",0.548662209896154,0.71417674769591
"99","tN","mu_y","x",-0.000770565247633703,0.000137716560509459
"100","tN","mu_y","I(x^2)",-0.0059990955499866,0.00598999229043909
"101","tN","mu_y","I(x^3)",0.00607226471968722,0.00332936240076965
"102","tN","mu_y","I(x^4)",0.0128719622655407,-0.0129388234917821
"103","tN","mu_y","I(y^2)",-0.00399735491012373,0.174886765495424
"104","tN","mu_y","I(y^3)",2.01176517077513,0.827478425528247
"105","tN","mu_y","I(y^4)",0.0127087086536222,-1.20453090333648
"106","tN","mu_y","y:x",-0.0023168948594368,-0.0307250634532823
"107","tN","mu_y","y:I(x^2)",-0.436218201327202,-0.41184622747388
"108","tN","mu_y","y:I(x^3)",-0.0685714101250929,0.035168947646779
"109","tN","mu_y","y:I(x^4)",1.90613398249715,1.25599030826619
"110","tN","mu_y","x:I(y^2)",-0.0244196116424911,-0.0909809931898453
"111","tN","mu_y","x:I(y^3)",0.11527301117617,0.24581934518601
"112","tN","mu_y","x:I(y^4)",0.07545838976273,0.735031132052915
"113","tN","sigma_xx","(Intercept)",0.854818425758985,0.0922870325255682
"114","tN","sigma_xx","y",0.0290952752937098,-1.27407367522079e-11
"115","tN","sigma_xx","x",0.14056551014474,-0.000244922111324432
"116","tN","sigma_xx","I(x^2)",-10.0027568662179,0.15466748064373
"117","tN","sigma_xx","I(x^3)",-1.25403143588581,0.00371047433401061
"118","tN","sigma_xx","I(x^4)",23.334183339593,0.831171621560846
"119","tN","sigma_xx","I(y^2)",-6.67213906720305,0.219273351370196
"120","tN","sigma_xx","I(y^3)",-0.0653556727821549,7.91697866385673e-11
"121","tN","sigma_xx","I(y^4)",22.7608920830929,0.102067437852366
"122","tN","sigma_xx","y:x",0.0156110635813311,-7.990493171924e-10
"123","tN","sigma_xx","y:I(x^2)",-0.336490239070417,-1.04809303811224e-10
"124","tN","sigma_xx","y:I(x^3)",0.175175571222904,2.14906773337705e-09
"125","tN","sigma_xx","y:I(x^4)",0.741924707028482,7.89650471083876e-10
"126","tN","sigma_xx","x:I(y^2)",5.55857645577876,-0.00859503559650778
"127","tN","sigma_xx","x:I(y^3)",-0.352823606170473,3.57150343371409e-09
"128","tN","sigma_xx","x:I(y^4)",-17.3668139578742,0.030379208940537
"129","tN","sigma_xy","(Intercept)",0.000348908902375801,0.000103179442532216
"130","tN","sigma_xy","y",-0.00525071322066152,-0.000125047595262305
"131","tN","sigma_xy","x",-0.000375684136266807,9.14047321437504e-05
"132","tN","sigma_xy","I(x^2)",-0.00444575468851544,-0.00188875783330599
"133","tN","sigma_xy","I(x^3)",0.00283642901847481,-0.000617070746169128
"134","tN","sigma_xy","I(x^4)",0.00952791384425576,0.00486690967144817
"135","tN","sigma_xy","I(y^2)",-0.00310887886307996,-0.000632188003998295
"136","tN","sigma_xy","I(y^3)",0.0112744671261964,0.000542238718717957
"137","tN","sigma_xy","I(y^4)",0.00992223025995776,0.00211794742094584
"138","tN","sigma_xy","y:x",-0.10150846346381,0.00759029383524294
"139","tN","sigma_xy","y:I(x^2)",0.0633051464102087,0.00196433044085699
"140","tN","sigma_xy","y:I(x^3)",0.672596497202241,0.22841268556503
"141","tN","sigma_xy","y:I(x^4)",-0.140292225971991,-0.0055327310624722
"142","tN","sigma_xy","x:I(y^2)",-0.0109123495334481,0.00158596796705982
"143","tN","sigma_xy","x:I(y^3)",0.236808364185704,0.177185565566451
"144","tN","sigma_xy","x:I(y^4)",0.0334923481747361,-0.00518864055396804
"145","tN","sigma_yy","(Intercept)",0.0330602135317558,0.0375713137646426
"146","tN","sigma_yy","y",1.93771148880873e-06,2.17805063865058e-06
"147","tN","sigma_yy","x",0.00030984543906436,-0.000143445078376433
"148","tN","sigma_yy","I(x^2)",0.100711755352531,0.0551311764856998
"149","tN","sigma_yy","I(x^3)",-0.00155664654974239,0.000593434066085616
"150","tN","sigma_yy","I(x^4)",-0.0306894897153157,0.0122369128099656
"151","tN","sigma_yy","I(y^2)",-0.00313907157681233,0.102230090598361
"152","tN","sigma_yy","I(y^3)",-4.47571825257117e-06,7.39217928623853e-06
"153","tN","sigma_yy","I(y^4)",1.81978966177599,1.16102606903559
"154","tN","sigma_yy","y:x",2.35408752652262e-06,-7.00336240064262e-06
"155","tN","sigma_yy","y:I(x^2)",-2.19024630407834e-05,-6.03021944928499e-05
"156","tN","sigma_yy","y:I(x^3)",2.43033646069395e-05,5.01791021984075e-05
"157","tN","sigma_yy","y:I(x^4)",4.82720667579607e-05,0.000153947709590647
"158","tN","sigma_yy","x:I(y^2)",0.00550184030843382,-0.00075352160287275
"159","tN","sigma_yy","x:I(y^3)",-4.99497458579349e-05,-5.40745691124162e-05
"160","tN","sigma_yy","x:I(y^4)",-0.022931966589729,0.00426508575980252
