"","biasModel","feat","z","coef_lm","coef_rlm"
"72","N","sigma_yy","I(y^3)",-7.70148216561598e-18,-2.37834974328637e-06
"73","N","sigma_yy","I(y^4)",-0.156045156889379,-0.166949545507886
"74","N","sigma_yy","y:x",-3.37652795405621e-17,-1.60017945518533e-06
"75","N","sigma_yy","y:I(x^2)",5.16213995451393e-17,2.56271874420168e-06
"76","N","sigma_yy","y:I(x^3)",7.78355613752524e-17,2.76275346992929e-06
"77","N","sigma_yy","y:I(x^4)",-1.24834174466263e-16,-6.06204608104918e-06
"78","N","sigma_yy","x:I(y^2)",3.50511120750791e-05,-0.000263321108605252
"79","N","sigma_yy","x:I(y^3)",5.74726575816122e-17,5.20807402375722e-06
"80","N","sigma_yy","x:I(y^4)",-0.000534284627241404,0.000596276772576162
"81","tN","mu_x","(Intercept)",0.110302041715705,0.000114419205676269
"82","tN","mu_x","y",0.327732607083822,-3.16223573929768e-05
"83","tN","mu_x","x",-1.84126503575421,0.593747637984157
"84","tN","mu_x","I(x^2)",-0.974343807460246,-0.000914474879570287
"85","tN","mu_x","I(x^3)",12.5631486913345,0.745203126949785
"86","tN","mu_x","I(x^4)",1.24470540084139,0.00341342825808517
"87","tN","mu_x","I(y^2)",1.83799955379985,-0.000971969778454542
"88","tN","mu_x","I(y^3)",0.0292495045301104,9.40927825656017e-06
"89","tN","mu_x","I(y^4)",-6.39706169573709,0.00216266541816312
"90","tN","mu_x","y:x",2.4817276622173,0.00184168562712767
"91","tN","mu_x","y:I(x^2)",-0.546554857525863,-0.00142201734640673
"92","tN","mu_x","y:I(x^3)",-3.92518310406859,-0.00494161909639948
"93","tN","mu_x","y:I(x^4)",0.752759075623225,0.00422893557383943
"94","tN","mu_x","x:I(y^2)",-29.5389383016222,-0.148775231672341
"95","tN","mu_x","x:I(y^3)",-4.08641901925455,-0.0101673272945311
"96","tN","mu_x","x:I(y^4)",117.403964466226,2.02471694293359
"97","tN","mu_y","(Intercept)",-0.0933225095390221,0.00270129648509109
"98","tN","mu_y","y",-0.528818262575829,0.669971467079681
"99","tN","mu_y","x",0.90268456339589,-0.00151709054089947
"100","tN","mu_y","I(x^2)",-0.40802288043668,-0.0135707101201246
"101","tN","mu_y","I(x^3)",-2.72022286514134,0.0100253007212969
"102","tN","mu_y","I(x^4)",-0.0276498744599924,0.0296640975584415
"103","tN","mu_y","I(y^2)",7.15635299866548,-0.133281088714449
"104","tN","mu_y","I(y^3)",10.9863918011745,0.899910772296311
"105","tN","mu_y","I(y^4)",-18.3374565945653,0.892051641204448
"106","tN","mu_y","y:x",3.94226677577255,0.0209886437103705
"107","tN","mu_y","y:I(x^2)",-1.6643042325665,-0.325768617580305
"108","tN","mu_y","y:I(x^3)",-7.72399440564803,-0.0104280007117816
"109","tN","mu_y","y:I(x^4)",11.5299883338277,1.08504623301057
"110","tN","mu_y","x:I(y^2)",14.5172610521003,-0.145626937692386
"111","tN","mu_y","x:I(y^3)",2.94545087839518,-0.223704463903531
"112","tN","mu_y","x:I(y^4)",-56.1806922623815,1.13483126636788
"113","tN","sigma_xx","(Intercept)",0.31140047673737,0.0959047249555699
"114","tN","sigma_xx","y",1.25649841792097,-8.76552893210482e-05
"115","tN","sigma_xx","x",0.471957029827358,-6.49172214379199e-05
"116","tN","sigma_xx","I(x^2)",-6.72014641394631,0.239912394267959
"117","tN","sigma_xx","I(x^3)",-1.1973225810628,0.0012708776993381
"118","tN","sigma_xx","I(x^4)",16.8975602055836,0.636562322624933
"119","tN","sigma_xx","I(y^2)",2.4071963441686,0.0865468600553874
"120","tN","sigma_xx","I(y^3)",-1.50848391484403,0.000131401525515873
"121","tN","sigma_xx","I(y^4)",2.52375655330398,0.403973646283478
"122","tN","sigma_xx","y:x",7.90617431407639,-0.000892523467420306
"123","tN","sigma_xx","y:I(x^2)",0.189718716397816,-0.00146848062255038
"124","tN","sigma_xx","y:I(x^3)",-12.6875777413463,0.00246095014072406
"125","tN","sigma_xx","y:I(x^4)",-3.94491604688194,0.00444643054186125
"126","tN","sigma_xx","x:I(y^2)",4.50899064609429,-0.00470180805975589
"127","tN","sigma_xx","x:I(y^3)",-12.7198902873592,0.000155002574230322
"128","tN","sigma_xx","x:I(y^4)",-4.96047996954776,0.0148312143486267
"129","tN","sigma_xy","(Intercept)",-0.0496448083252932,-6.78102258066858e-05
"130","tN","sigma_xy","y",0.427534697901461,-5.10715575895786e-05
"131","tN","sigma_xy","x",0.0626291568158122,-5.46282614654061e-05
"132","tN","sigma_xy","I(x^2)",0.254223397631211,0.000384433636307691
"133","tN","sigma_xy","I(x^3)",-0.233390662295572,6.89910857631165e-05
"134","tN","sigma_xy","I(x^4)",0.14052410362501,-0.000527939148075943
"135","tN","sigma_xy","I(y^2)",-1.49650992431249,0.000219812731086888
"136","tN","sigma_xy","I(y^3)",-2.39122951257782,0.000506384532171928
"137","tN","sigma_xy","I(y^4)",6.44227435293564,0.000289711792318176
"138","tN","sigma_xy","y:x",4.25613299092642,0.0148751781876998
"139","tN","sigma_xy","y:I(x^2)",0.245862894238702,-0.00108995522697637
"140","tN","sigma_xy","y:I(x^3)",-4.60645617846553,0.269441698380322
"141","tN","sigma_xy","y:I(x^4)",-2.87966828262668,0.00198105818787577
"142","tN","sigma_xy","x:I(y^2)",2.65783513563648,0.000612835610024993
"143","tN","sigma_xy","x:I(y^3)",-17.413642176299,0.276367379219962
"144","tN","sigma_xy","x:I(y^4)",-17.9825079103478,-0.00149941701897162
"145","tN","sigma_yy","(Intercept)",-0.379652509320979,0.0347288245965467
"146","tN","sigma_yy","y",3.64169070770517,0.00108622709662198
"147","tN","sigma_yy","x",2.10428176725976,-0.000435636232134115
"148","tN","sigma_yy","I(x^2)",-1.11017516085792,0.0455272874856568
"149","tN","sigma_yy","I(x^3)",-5.99155650088132,0.00295471753752964
"150","tN","sigma_yy","I(x^4)",0.941337263112022,0.0135383994665096
"151","tN","sigma_yy","I(y^2)",21.917653829755,0.132026106884453
"152","tN","sigma_yy","I(y^3)",-1.05706646184877,-0.000872158994233584
"153","tN","sigma_yy","I(y^4)",-45.7959187160633,1.09103464253114
"154","tN","sigma_yy","y:x",21.512750989674,0.0292577179638896
"155","tN","sigma_yy","y:I(x^2)",0.267675580462877,-0.0242321536078115
"156","tN","sigma_yy","y:I(x^3)",-36.9355961806925,-0.0625913303740258
"157","tN","sigma_yy","y:I(x^4)",-8.82298630281549,0.0540175982272077
"158","tN","sigma_yy","x:I(y^2)",23.3719649088797,-0.0594384617561298
"159","tN","sigma_yy","x:I(y^3)",-18.6358869031087,-0.149640284733185
"160","tN","sigma_yy","x:I(y^4)",-47.5719079655698,0.552286337223744
