"","biasModel","feat","z","coef_lm","coef_rlm"
"73","N","sigma_yy","I(y^4)",-0.725193805367776,-0.623963718284738
"74","N","sigma_yy","y:x",-1.18127837678308e-16,-3.03248513271279e-08
"75","N","sigma_yy","y:I(x^2)",2.65435116665018e-16,-1.02690354917036e-06
"76","N","sigma_yy","y:I(x^3)",6.95170912241292e-16,5.7896720085843e-07
"77","N","sigma_yy","y:I(x^4)",-1.60619327686229e-15,5.41660526852624e-06
"78","N","sigma_yy","x:I(y^2)",-0.000748239575453179,0.000292314643955831
"79","N","sigma_yy","x:I(y^3)",1.18556268837555e-15,-1.09727792292722e-07
"80","N","sigma_yy","x:I(y^4)",-0.024596253791818,-0.0304799050073243
"81","tN","mu_x","(Intercept)",0.000168298333530335,0.000186425913283903
"82","tN","mu_x","y",-1.74944555020412e-12,-3.8164838826604e-06
"83","tN","mu_x","x",0.72192311315825,0.729229144058017
"84","tN","mu_x","I(x^2)",-0.000796092972642599,-0.00147063625577904
"85","tN","mu_x","I(x^3)",0.463062844472099,0.424597528529214
"86","tN","mu_x","I(x^4)",0.00331768815694034,0.00659041114620171
"87","tN","mu_x","I(y^2)",-0.00190278933228337,-0.00180098020870643
"88","tN","mu_x","I(y^3)",1.85577716355721e-11,9.51405513741089e-06
"89","tN","mu_x","I(y^4)",0.00851929718355949,0.00482804290493358
"90","tN","mu_x","y:x",-4.07437232881427e-12,-1.29087753659426e-06
"91","tN","mu_x","y:I(x^2)",1.02413614698795e-11,0.000204967122836463
"92","tN","mu_x","y:I(x^3)",1.5588193036622e-11,7.99502439685783e-06
"93","tN","mu_x","y:I(x^4)",-2.10622298104869e-11,-0.00119693658032069
"94","tN","mu_x","x:I(y^2)",-1.21929219311804,-1.31427883260214
"95","tN","mu_x","x:I(y^3)",5.79481095718634e-11,1.18439465758257e-05
"96","tN","mu_x","x:I(y^4)",10.8433803376602,11.0148127967642
"97","tN","mu_y","(Intercept)",-3.51237692144808e-08,-1.34873733813433e-08
"98","tN","mu_y","y",0.799779758024719,0.803502032982259
"99","tN","mu_y","x",-1.35277160023417e-06,-1.57930046271649e-06
"100","tN","mu_y","I(x^2)",-1.59744467341354e-06,-2.49145912202289e-06
"101","tN","mu_y","I(x^3)",2.89948687232386e-06,2.93279261060597e-06
"102","tN","mu_y","I(x^4)",7.11496813718071e-06,1.10730816664766e-05
"103","tN","mu_y","I(y^2)",3.17573572404719e-06,2.92256694158266e-06
"104","tN","mu_y","I(y^3)",-0.289625954911836,-0.346975030221343
"105","tN","mu_y","I(y^4)",-2.77573342613906e-05,-2.64936731641049e-05
"106","tN","mu_y","y:x",0.00183062441056181,0.00104715300411579
"107","tN","mu_y","y:I(x^2)",-0.0769919413993874,-0.0591862405949465
"108","tN","mu_y","y:I(x^3)",-0.00433909805193233,-0.00459091212143239
"109","tN","mu_y","y:I(x^4)",-0.558498224970138,-0.56503122849855
"110","tN","mu_y","x:I(y^2)",5.3486724060449e-05,7.52543007901261e-05
"111","tN","mu_y","x:I(y^3)",-0.0329435294999328,-0.0186075053338712
"112","tN","mu_y","x:I(y^4)",-0.000503097337346319,-0.000711149321128335
"113","tN","sigma_xx","(Intercept)",0.0883860861867971,0.0869644648671523
"114","tN","sigma_xx","y",-1.22433393583352e-12,1.80015694123998e-11
"115","tN","sigma_xx","x",0.000167694908904638,0.00011465165895377
"116","tN","sigma_xx","I(x^2)",0.26912029736719,0.410813963993321
"117","tN","sigma_xx","I(x^3)",0.000201380033766773,0.000122376826611768
"118","tN","sigma_xx","I(x^4)",0.333991322456277,-0.363140726662168
"119","tN","sigma_xx","I(y^2)",0.29130761966468,0.227409357288624
"120","tN","sigma_xx","I(y^3)",1.06900702106311e-11,-1.42885698955198e-10
"121","tN","sigma_xx","I(y^4)",-1.37516059615011,-0.759098642616075
"122","tN","sigma_xx","y:x",-1.26474235270386e-12,1.62830137831878e-10
"123","tN","sigma_xx","y:I(x^2)",2.02693823387301e-11,-4.76677179826846e-10
"124","tN","sigma_xx","y:I(x^3)",1.36791370684564e-12,-1.42777955276256e-09
"125","tN","sigma_xx","y:I(x^4)",-5.71031060014811e-11,4.95848838781142e-10
"126","tN","sigma_xx","x:I(y^2)",-0.0205771671821919,-0.00789051062430762
"127","tN","sigma_xx","x:I(y^3)",1.39836816748511e-11,-2.49151000572432e-09
"128","tN","sigma_xx","x:I(y^4)",0.343902892480856,0.238431564611497
"129","tN","sigma_xy","(Intercept)",2.79384122882982e-08,-1.23313081295251e-08
"130","tN","sigma_xy","y",-0.000110847634467288,-3.74702613113575e-05
"131","tN","sigma_xy","x",-8.72357814615809e-07,-1.02079847599643e-06
"132","tN","sigma_xy","I(x^2)",-4.54250061966474e-07,1.69286018892116e-06
"133","tN","sigma_xy","I(x^3)",1.2153342765153e-06,-4.23983460571188e-07
"134","tN","sigma_xy","I(x^4)",-6.07784088144061e-07,-1.25925751096684e-05
"135","tN","sigma_xy","I(y^2)",1.0760061081946e-06,1.41999290152852e-06
"136","tN","sigma_xy","I(y^3)",0.00238118226153474,0.00106399053105314
"137","tN","sigma_xy","I(y^4)",-1.49956499256169e-05,-1.65787931381952e-05
"138","tN","sigma_xy","y:x",0.188072770214008,0.188009188869491
"139","tN","sigma_xy","y:I(x^2)",0.00218279955025396,0.000304721126797297
"140","tN","sigma_xy","y:I(x^3)",-0.39648050572181,-0.402307566405745
"141","tN","sigma_xy","y:I(x^4)",-0.00500023856652841,0.00127287304657578
"142","tN","sigma_xy","x:I(y^2)",4.31266007278561e-05,6.69862392524764e-05
"143","tN","sigma_xy","x:I(y^3)",-1.42853878081681,-1.37082209603533
"144","tN","sigma_xy","x:I(y^4)",-0.00043961165926454,-0.000734446401888972
"145","tN","sigma_yy","(Intercept)",0.0351051505026614,0.0357316847970371
"146","tN","sigma_yy","y",4.42974440294524e-13,7.03245073709015e-09
"147","tN","sigma_yy","x",4.23451029554229e-05,6.31428208666882e-07
"148","tN","sigma_yy","I(x^2)",0.0405425871503188,0.0357374243963609
"149","tN","sigma_yy","I(x^3)",-0.000113680428785741,-2.36503958039501e-05
"150","tN","sigma_yy","I(x^4)",-0.0128882498166824,-0.00299068574953045
"151","tN","sigma_yy","I(y^2)",0.176629823233131,0.163519363297938
"152","tN","sigma_yy","I(y^3)",-3.49547616651303e-12,-1.77761588086702e-08
"153","tN","sigma_yy","I(y^4)",-0.57673250159426,-0.501750126423722
"154","tN","sigma_yy","y:x",-5.87777159819325e-13,2.2475462387508e-09
"155","tN","sigma_yy","y:I(x^2)",-4.67487669393967e-12,-3.77614954371051e-07
"156","tN","sigma_yy","y:I(x^3)",2.94989104940858e-12,-1.27662043462336e-07
"157","tN","sigma_yy","y:I(x^4)",1.41024251387481e-11,2.06262999215079e-06
"158","tN","sigma_yy","x:I(y^2)",-0.000104611720789109,0.000754243367487313
"159","tN","sigma_yy","x:I(y^3)",3.45046217977352e-12,1.09714476036994e-07
"160","tN","sigma_yy","x:I(y^4)",-0.0389189075279252,-0.0424373556659027
