1,-0.003,0.00625,-0.20525,-0.03775
2,-0.20525,-0.03775,-0.2355,-0.049
3,-0.2355,-0.049,0.13725,-0.0555
4,0.13725,-0.0555,0.16525,-0.0815
5,0.16525,-0.0815,0.3935,-0.06475
6,0.3935,-0.06475,0.01875,0.1105
7,0.01875,0.1105,-0.41925,-0.118
8,-0.41925,-0.118,-0.4865,-0.1645
9,-0.4865,-0.1645,-0.3265,-0.1575
10,-0.3265,-0.1575,0.128,0.315
1,-0.009,-0.0115,-0.118,-0.0535
2,-0.118,-0.0535,-0.1495,-0.08875
3,-0.1495,-0.08875,-0.52,-0.36225
4,-0.52,-0.36225,-0.723,-0.44375
5,-0.723,-0.44375,-0.82725,-0.18225
6,-0.82725,-0.18225,-0.86675,-0.21
7,-0.86675,-0.21,-0.8775,-0.26075
8,-0.8775,-0.26075,0.022,0.26075
9,0.022,0.26075,0.1235,0.18175
10,0.1235,0.18175,0.39975,-0.00475
11,0.39975,-0.00475,0.7585,-0.2565
12,0.7585,-0.2565,0.01475,0.32225
1,-0.00125,0.0105,-0.26675,0.116
2,-0.26675,0.116,-0.30175,0.131
3,-0.30175,0.131,-0.35125,0.15575
4,-0.35125,0.15575,0.41475,-0.0355
5,0.41475,-0.0355,0.3535,-0.4295
6,0.3535,-0.4295,0.50175,-0.39625
7,0.50175,-0.39625,0.62125,0.18325
8,0.62125,0.18325,0.47625,0.181
9,0.47625,0.181,0.44175,0.13275
10,0.44175,0.13275,0.734,0.17075
11,0.734,0.17075,0.00325,-0.03425
12,0.00325,-0.03425,-0.58825,-0.13825
13,-0.58825,-0.13825,-0.5845,-0.19525
14,-0.5845,-0.19525,-0.857,-0.11525
15,-0.857,-0.11525,0.2595,0.16975
16,0.2595,0.16975,-0.06875,0.21675
1,0.01275,0.00125,-0.14725,0.03225
2,-0.14725,0.03225,-0.21625,0.08475
3,-0.21625,0.08475,-0.2395,0.07925
4,-0.2395,0.07925,0.548,0.05175
5,0.548,0.05175,0.6315,0.04925
6,0.6315,0.04925,0.68375,0.05025
7,0.68375,0.05025,0.552,0.03825
8,0.552,0.03825,-0.07525,0.0075
9,-0.07525,0.0075,-0.12275,0.01
10,-0.12275,0.01,0.0455,-0.38825
11,0.0455,-0.38825,0.2355,-0.352
12,0.2355,-0.352,-0.52225,0.2665
13,-0.52225,0.2665,-0.6995,0.4
14,-0.6995,0.4,-0.619,0.452
15,-0.619,0.452,0.1055,0.0255
1,0.004,0.02575,0.08275,0.11925
2,0.08275,0.11925,-0.18475,0.14975
3,-0.18475,0.14975,-0.05575,0.14375
4,-0.05575,0.14375,-0.02725,-0.2185
5,-0.02725,-0.2185,-0.13825,-0.26575
6,-0.13825,-0.26575,-0.10125,-0.09225
7,-0.10125,-0.09225,-0.237,0.07075
8,-0.237,0.07075,-0.3795,0.11975
9,-0.3795,0.11975,-0.523,-0.19775
10,-0.523,-0.19775,0.22525,0.13375
11,0.22525,0.13375,-0.0635,0.0295
1,-0.0005,0.005,0.0405,-0.09625
2,0.0405,-0.09625,0.0815,-0.09175
3,0.0815,-0.09175,0.0675,-0.16975
4,0.0675,-0.16975,0.02175,-0.38575
5,0.02175,-0.38575,-0.01375,-0.44825
6,-0.01375,-0.44825,-0.13625,-0.4215
7,-0.13625,-0.4215,-0.2085,0.42375
8,-0.2085,0.42375,-0.5115,0.538
9,-0.5115,0.538,-0.6365,0.5375
10,-0.6365,0.5375,-0.681,0.4845
11,-0.681,0.4845,-0.7295,0.68975
12,-0.7295,0.68975,-0.64925,0.6715
13,-0.64925,0.6715,0.12675,0.18025
14,0.12675,0.18025,0.03775,0.06775
1,0.002,0.0015,0.0025,0.1105
2,0.0025,0.1105,0.004,0.06975
3,0.004,0.06975,0.07025,0.3665
4,0.07025,0.3665,0.028,0.37775
5,0.028,0.37775,-0.24225,0.306
6,-0.24225,0.306,-0.25375,0.17325
7,-0.25375,0.17325,-0.68225,0.2165
8,-0.68225,0.2165,-0.644,0.1295
9,-0.644,0.1295,-0.3235,-0.14025
10,-0.3235,-0.14025,0.04125,-0.4775
11,0.04125,-0.4775,0.01875,-0.6165
12,0.01875,-0.6165,0.35975,0.1445
13,0.35975,0.1445,-0.1235,0.07475
1,-0.00275,0.004,0.127,-0.06625
2,0.127,-0.06625,0.11125,-0.092
3,0.11125,-0.092,0.32875,-0.10125
4,0.32875,-0.10125,0.4755,0.08025
5,0.4755,0.08025,0.6135,-0.23025
6,0.6135,-0.23025,0.50825,-0.30525
7,0.50825,-0.30525,-0.1375,-0.168
8,-0.1375,-0.168,-0.0525,-0.1875
9,-0.0525,-0.1875,0.00025,-0.0555
1,0.02025,0,-0.144,0.0305
2,-0.144,0.0305,-0.43525,0.01075
3,-0.43525,0.01075,-0.5815,0.02275
4,-0.5815,0.02275,-0.15425,0.35925
5,-0.15425,0.35925,-0.28,0.404
6,-0.28,0.404,-0.4635,0.47075
