"","biasModel","feat","z","coef"
"129","SN","alpha-y2","I(x^2)",0.71
"130","SN","alpha-y2","I(x^3)",-1.32
"131","SN","alpha-y2","I(x^4)",-7.82
"132","SN","alpha-y2","y",-7.96
"133","SN","alpha-y2","I(y^2)",-0.22
"134","SN","alpha-y2","I(y^3)",-129.59
"135","SN","alpha-y2","I(y^4)",3.02
"136","SN","nu","(Intercept)",1.95
"137","SN","nu","x",0
"138","SN","nu","I(x^2)",62.66
"139","SN","nu","I(x^3)",-0.02
"140","SN","nu","I(x^4)",-32.08
"141","SN","nu","y",0
"142","SN","nu","I(y^2)",48
"143","SN","nu","I(y^3)",0
"144","SN","nu","I(y^4)",360.28
"145","SN","xi_x","(Intercept)",0
"146","SN","xi_x","x",4.32
"147","SN","xi_x","I(x^2)",0.26
"148","SN","xi_x","I(x^3)",10.41
"149","SN","xi_x","I(x^4)",-2.87
"150","SN","xi_x","y",-0.03
"151","SN","xi_x","I(y^2)",-0.08
"152","SN","xi_x","I(y^3)",0.54
"153","SN","xi_x","I(y^4)",1.14
"154","SN","xi_y","(Intercept)",0
"155","SN","xi_y","x",-0.01
"156","SN","xi_y","I(x^2)",-0.13
"157","SN","xi_y","I(x^3)",0.24
"158","SN","xi_y","I(x^4)",1.44
"159","SN","xi_y","y",5.77
"160","SN","xi_y","I(y^2)",0.04
"161","SN","xi_y","I(y^3)",-3.27
"162","SN","xi_y","I(y^4)",-0.56
"163","N","mu_x","(Intercept)",0
"164","N","mu_x","x",2.99
"165","N","mu_x","I(x^2)",0
"166","N","mu_x","I(x^3)",0.52
"167","N","mu_x","I(x^4)",0.01
"168","N","mu_x","y",0
"169","N","mu_x","I(y^2)",0
"170","N","mu_x","I(y^3)",0
"171","N","mu_x","I(y^4)",0.01
"172","N","mu_y","(Intercept)",0
"173","N","mu_y","x",0
"174","N","mu_y","I(x^2)",0
"175","N","mu_y","I(x^3)",0
"176","N","mu_y","I(x^4)",0
"177","N","mu_y","y",2.87
"178","N","mu_y","I(y^2)",0
"179","N","mu_y","I(y^3)",0.67
"180","N","mu_y","I(y^4)",0
"181","N","sigma_xx","(Intercept)",1.23
"182","N","sigma_xx","x",0
"183","N","sigma_xx","I(x^2)",0
"184","N","sigma_xx","I(x^3)",0
"185","N","sigma_xx","I(x^4)",0
"186","N","sigma_xx","y",0
"187","N","sigma_xx","I(y^2)",0
"188","N","sigma_xx","I(y^3)",0
"189","N","sigma_xx","I(y^4)",0
"190","N","sigma_xy","(Intercept)",0
"191","N","sigma_xy","x",0
"192","N","sigma_xy","I(x^2)",0
"193","N","sigma_xy","I(x^3)",0
"194","N","sigma_xy","I(x^4)",0
"195","N","sigma_xy","y",0
"196","N","sigma_xy","I(y^2)",0
"197","N","sigma_xy","I(y^3)",0
"198","N","sigma_xy","I(y^4)",0
"199","N","sigma_yx","(Intercept)",0
"200","N","sigma_yx","x",0
"201","N","sigma_yx","I(x^2)",0
"202","N","sigma_yx","I(x^3)",0
"203","N","sigma_yx","I(x^4)",0
"204","N","sigma_yx","y",0
"205","N","sigma_yx","I(y^2)",0
"206","N","sigma_yx","I(y^3)",0
"207","N","sigma_yx","I(y^4)",0
"208","N","sigma_yy","(Intercept)",0.43
"209","N","sigma_yy","x",0
"210","N","sigma_yy","I(x^2)",0
"211","N","sigma_yy","I(x^3)",0
"212","N","sigma_yy","I(x^4)",0
"213","N","sigma_yy","y",0
"214","N","sigma_yy","I(y^2)",0
"215","N","sigma_yy","I(y^3)",0
"216","N","sigma_yy","I(y^4)",0
