1,1,2,262,506,438.8,259.3
1,1,3,534,946,434.7,343.2
1,1,4,994,1354,255.4,372.6
1,2,2,227,431,345.3,271.8
1,2,3,471,919,279.5,187.8
1,2,4,947,1215,285.4,128.2
1,2,5,1235,1671,265.1,145.9
1,2,6,1723,2075,535.1,367.1
1,2,7,2107,2271,624.9,438
1,2,8,2319,2799,361.9,420.9
1,2,9,2823,3107,312.1,447.3
1,2,10,3175,3575,663.1,334.2
1,2,11,3587,3699,678,333
1,2,12,3727,4071,597.6,287
1,2,13,4119,5007,772.1,374.4
1,2,14,5079,5255,322.3,409.4
1,2,15,5271,5567,293.3,434.4
1,2,16,5591,5959,226.2,434.6
1,2,17,5991,6359,174,474.1
1,3,2,330,686,207.1,277.1
1,3,3,714,1066,160.6,252.4
1,3,4,1090,1394,101.4,262.5
1,3,5,1446,1818,303,185.8
1,3,6,1862,2146,478.3,339.5
1,3,7,2214,2634,742.6,106.9
1,3,8,2694,3098,546.9,322
1,4,2,554,942,543.9,320.7
1,4,3,990,1178,386.7,265.9
1,4,4,1206,1358,310,272
1,4,5,1410,1602,366,146.6
1,4,6,1658,2058,619.4,112
1,4,7,2070,2262,618.7,131.2
1,4,8,2282,2626,573.3,132.5
1,4,9,2666,2890,687.4,168.7
1,4,10,2922,3246,735.1,137.1
1,4,11,3294,3574,672.9,303.2
1,4,12,3610,3858,560.1,350.3
1,4,13,3890,4486,458.6,390.3
1,4,14,4526,5102,344.4,474.5
1,4,15,5130,5402,431.1,497.1
1,4,16,5450,5894,606.6,473.7
1,4,17,5930,6142,724.7,482.1
1,4,18,6162,6350,678.8,467.8
1,4,19,6358,6634,657.8,471.1
1,4,20,6666,6938,571.3,414.7
1,4,21,6954,7702,545.3,403
1,4,22,7738,7990,451.2,345
1,4,23,8006,9062,436,339.2
1,5,2,286,554,367.2,285.1
1,5,3,594,1098,238.3,303.2
1,5,4,1146,1354,402.1,309.9
1,5,5,1402,1642,623.2,379.7
1,5,6,1666,2190,670.9,408.2
1,5,7,2242,2582,634.5,198.5
1,5,8,2598,3034,623.4,179.1
1,5,9,3054,3222,594.3,186.8
1,5,10,3274,3474,354.5,231.3
1,5,11,3498,3754,292.5,235.2
1,5,12,3786,3998,208.1,262.4
1,5,13,4018,4250,185,270.1
1,5,14,4278,4570,179.4,327.6
1,5,15,4594,5134,157.6,374.1
1,5,16,5146,5630,159.9,395.9
1,5,17,5682,5942,411.1,326.5
1,5,18,5962,6154,435.3,311.8
1,5,19,6210,6630,293.2,267.9
1,6,2,216,668,343.3,299.1
1,6,3,680,840,318.6,307.8
1,6,4,880,1208,225.8,238.5
1,6,5,1256,1624,500.3,266.3
1,6,6,1636,1832,503.4,289
1,6,7,1844,2440,499.7,299.2
1,6,8,2488,2772,696,300.9
1,6,9,2808,3740,762.6,206.3
1,6,10,3776,4176,765.5,101.8
1,6,11,4196,4932,724.9,87.9
1,6,12,4968,5248,779.3,163.1
1,6,13,5268,6284,751.7,184.6
1,7,2,308,552,367.4,319.8
1,7,3,564,764,407.1,314
1,7,4,788,972,430.3,323.6
1,7,5,1024,1348,201,297.5
1,7,6,1360,1576,173.7,284.5
1,7,7,1624,1840,424.1,328.1
1,7,8,1892,2204,598.1,465.8
1,7,9,2228,2392,574.9,437.6
1,7,10,2416,2616,618.8,428.3
1,7,11,2664,3004,696,346.8
1,7,12,3028,3288,695.4,379.9
1,7,13,3300,3384,675.1,389.7
1,7,14,3416,3600,763.2,396.7
1,7,15,3620,3768,787.7,385.7
1,7,16,3840,4128,287.8,421.1
1,7,17,4136,4700,264.4,397.3
1,8,2,241,485,340.1,287.7
1,8,3,537,685,191.6,335.1
1,8,4,713,1353,123,334.7
1,8,5,1365,1645,148.5,345.1
1,8,6,1681,2029,54.3,409.2
1,8,7,2073,2713,92.9,234
1,8,8,2769,3033,319,149.3
1,8,9,3049,3185,276.4,142.9
1,8,10,3241,3569,571.7,244.9
1,8,11,3589,3889,547.2,270.3
1,8,12,3933,4553,679.8,298.8
1,8,13,4577,4845,703.8,265.8
1,8,14,4865,5161,725.8,249.5
1,8,15,5193,5577,747,328.5
1,8,16,5589,5861,773,332.8
1,8,17,5881,6045,786.9,379.8
1,8,18,6093,6417,606.7,395.2
1,8,19,6449,6689,557,377.2
1,8,20,6729,6977,378.4,403
1,8,21,7009,7161,308.4,365.8
1,8,22,7213,7389,110.1,358.3
1,8,23,7417,7625,53.6,386
1,8,24,7637,8349,37.5,394.3
1,8,25,8393,8677,83.3,271.7
1,8,26,8705,9869,77.1,211.1
1,9,2,347,1463,247,368.3
1,9,3,1515,1799,474.7,334.9
1,9,4,1823,2187,437.7,298.8
1,9,5,2235,2615,544.8,217.4
1,9,6,2651,3007,613.4,282.1
1,9,7,3051,3411,692.6,439
1,9,8,3431,3887,669.9,460.9
1,9,9,3931,4223,522,416.5
1,9,10,4387,4607,520.1,380.1
1,9,11,4659,4919,596.4,194.6
1,9,12,4951,5207,530.5,137.5
1,9,13,5239,5539,510.5,65.7
1,9,14,5571,5851,419.2,77.9
1,9,15,5899,6147,633.4,207.2
1,9,16,6171,6403,634.4,173.9
1,9,17,6419,6539,599.9,183.9
1,9,18,6611,6799,77.3,239.1
1,9,19,6827,7163,61,277.5
1,9,20,7179,7767,82.6,290.8
1,9,21,7795,8275,48.6,344.8
1,10,2,286,750,320.1,346.8
1,10,3,806,1018,377.5,184
1,10,4,1082,1298,660.9,349.9
1,10,5,1318,1778,698.2,376.1
1,10,6,1802,2110,631.5,379.6
1,10,7,2162,2334,410,402.2
1,10,8,2378,2530,282.7,406.9
1,10,9,2558,2762,246.7,463.1
1,10,10,2806,3050,117.5,453.2
1,10,11,3230,3446,144.9,426.5
1,10,12,3462,3818,172,447.6
1,10,13,3826,4338,167.2,451.7
1,10,14,4374,4990,51.5,468.5
1,10,15,5034,5430,258.5,433.7
1,10,16,5478,5822,407.2,543.8
1,10,17,5846,6018,459.4,559.9
1,10,18,6074,6254,696.2,352.8
1,10,19,6282,6486,675.6,309.2
1,10,20,6502,7226,664.9,341.3
1,10,21,7270,7482,693.5,219.1
1,10,22,7506,8090,652.3,176
1,11,2,412,784,351,312.8
1,11,3,812,976,302.4,358.4
1,11,4,1000,1324,239.9,361.5
1,11,5,1372,1568,369,376.6
1,11,6,1596,1948,428.2,395.4
1,11,7,1996,2284,254.8,379.3
1,11,8,2408,2808,234.8,350.7
1,12,2,275,519,372.9,288.8
1,12,3,547,911,298.7,300.9
1,12,4,931,1031,340.9,282.9
1,12,5,1163,1235,348.3,261.9
1,12,6,1259,1683,280.6,292.9
1,12,7,1715,1855,361.9,277.3
1,12,8,1907,2375,137.6,409.2
1,12,9,2399,3207,175.8,429.1
1,12,10,3267,3475,401.7,292.2
1,12,11,3527,3851,629.2,365.5
1,12,12,3899,4211,538.5,231.9
1,12,13,4223,4571,554.8,237.7
1,12,14,4623,4819,717.7,415.7
1,12,15,4851,5371,774.9,451.8
1,12,16,5411,5599,627.2,407
1,12,17,5643,5883,407.3,315.8
1,12,18,5931,6091,251.4,232.4
1,12,19,6119,6415,181.3,224.8
1,12,20,6435,6707,141.4,237.2
1,12,21,6747,7023,102.4,355.6
1,12,22,7059,7579,82.1,432.3
1,12,23,7611,7855,173.1,448.4
1,12,24,7955,8111,302.9,292.7
1,12,25,8127,8535,269.8,298.4
1,12,26,8563,8775,354,286.5
1,13,2,215,491,351.9,252.9
1,13,3,535,939,210.6,258.2
1,13,4,991,1295,410.7,346.5
1,13,5,1327,1567,369.9,258.3
1,13,6,1595,1787,360.7,187.3
1,13,7,1803,2379,342,172.2
1,13,8,2395,2771,327.5,179.8
1,13,9,2787,3083,302.6,177.2
1,13,10,3135,3307,72,170
1,13,11,3323,3683,41.6,172
1,13,12,3727,3919,157.2,268
1,13,13,3963,4147,134.2,429.8
1,13,14,4171,4367,91.8,420.6
1,13,15,4399,5027,154.6,391.3
1,13,16,5167,5707,91.3,387.3
1,13,17,5763,6039,391.6,398.4
1,13,18,6079,6543,508.6,482.2
1,13,19,6591,6863,637.6,512.5
1,13,20,6887,7855,646.5,563.8
1,14,2,348,708,295.6,290.8
1,14,3,772,952,566.8,472.3
1,14,4,980,1480,580.3,500.5
1,14,5,1540,1696,667.1,307.3
1,14,6,1732,2112,685.3,199.9
1,14,7,2164,3184,409.9,236
1,14,8,3228,3576,255.8,230.1
1,14,9,3700,3932,303.9,182.7
1,14,10,3948,4096,333.2,206.1
1,14,11,4148,4328,433.3,123.2
1,14,12,4348,4676,444.9,112.5
1,14,13,4708,5228,426.7,185.2
1,14,14,5248,6384,460.7,190.8
1,15,2,293,537,411.5,262.2
1,15,3,581,797,463,185.2
1,15,4,841,1153,518.4,76.1
1,15,5,1165,1349,532.1,75.8
1,15,6,1393,1661,401.9,163.6
1,15,7,1697,2093,303.8,179.5
1,15,8,2129,2433,416.9,181.6
1,15,9,2449,2709,441,188.8
1,15,10,2753,3057,452.6,87.6
1,15,11,3093,3717,559.8,96.5
1,15,12,3725,4269,534.2,95.4
1,16,2,287,579,444.2,330.6
1,16,3,635,1075,153.7,353
1,16,4,1099,1507,92.3,373.8
1,17,2,391,559,461.2,446.1
1,17,3,583,987,493.3,478.5
1,17,4,1031,1295,344.2,438.9
1,17,5,1311,1611,342.2,411.6
1,17,6,1635,2379,375.7,421.7
1,18,2,298,502,297.8,318.4
1,18,3,530,738,258,282.7
1,18,4,786,1110,463.8,269.1
1,18,5,1154,1246,316.1,303.9
1,18,6,1282,1598,217.8,299.9
1,18,7,1626,1998,196.2,221.8
1,18,8,2050,2334,428.3,244.7
1,18,9,2370,2542,546.9,323.7
1,18,10,2574,2718,517.4,236.8
1,18,11,2758,2994,403.1,202.9
1,18,12,3014,3254,443.9,211.1
1,18,13,3282,3510,354.1,294.2
1,18,14,3538,4054,394.9,282.6
1,18,15,4194,4830,360.1,218.9
1,19,2,267,603,286.2,281.1
1,19,3,635,919,205.1,301.9
1,19,4,979,1255,426.8,180
1,19,5,1271,1543,444.8,196.6
1,19,6,1563,2075,465.8,177.6
1,19,7,2115,2327,395.1,296.4
1,20,2,247,911,355.8,403.6
1,20,3,923,1235,373.9,414.3
1,20,4,1243,1635,352.7,426.2
1,20,5,1659,1903,398.8,414.7
1,20,6,1915,2315,416.3,414.2
1,20,7,2351,2859,340.2,481.2
1,21,2,257,613,341.8,351.6
1,21,3,633,1169,315.9,381.1
1,21,4,1229,1473,622.9,421.8
1,21,5,1509,1693,563.5,351.5
1,21,6,1725,1849,622.6,418
1,21,7,1909,2105,301.9,333.7
1,21,8,2125,2309,372.5,343.7
1,21,9,2333,2433,418.2,335.1
1,21,10,2481,2733,616.9,402.9
1,21,11,2765,3009,743.5,359.6
1,21,12,3029,3345,747.7,392.7
1,21,13,3385,3821,787.8,503.6
1,21,14,3833,4017,784.7,533.9
1,21,15,4101,4541,207.1,318.8
1,21,16,4565,4749,147.6,339.4
1,21,17,4765,5405,111.7,352.3
1,21,18,5453,5761,221,255.7
1,21,19,5777,6189,221.4,237.9
1,21,20,6225,6277,318.9,385.7
1,21,21,6341,6561,238.7,33.4
1,21,22,6569,6861,232.4,85.8
1,21,23,6885,7805,190.2,109.5
1,21,24,7817,7945,193.4,106.3
1,21,25,7961,8257,170.6,83.6
1,21,26,8281,8545,123.3,83.1
1,21,27,8569,8829,98.9,130.3
1,21,28,8861,9097,174.5,118.3
1,21,29,9137,9337,245.4,331.7
1,21,30,9385,9629,275.6,404.2
1,21,31,9645,9833,249.5,417.2
1,21,32,9869,10477,153.5,430.2
